activity_id,institution_id,source_id,experiment_id,frequency,modeling_realm,table_id,member_id,grid_label,variable_id,temporal_subset,chunk_freq,grid_label,platform,dimensions,cell_methods,path
dev,,,c96L65_am5f3b1r0_pdclim1850F,daily,atmos_cmip,,n/a,,ua10,,,,,,,/archive/am5/am5/am5f3b1r0/c96L65_am5f3b1r0_pdclim1850F/gfdl.ncrc5-deploy-prod-openmp/pp/atmos_cmip/ts/daily/1yr/atmos_cmip.00030101-00031231.ua10.nc
dev,,,c96L65_am5f3b1r0_pdclim1850F,daily,atmos_cmip,,n/a,,pr,,,,,,,/archive/am5/am5/am5f3b1r0/c96L65_am5f3b1r0_pdclim1850F/gfdl.ncrc5-deploy-prod-openmp/pp/atmos_cmip/ts/daily/1yr/atmos_cmip.00060101-00061231.pr.nc
dev,,,c96L65_am5f3b1r0_pdclim1850F,daily,atmos_cmip,,n/a,,ua200,,,,,,,/archive/am5/am5/am5f3b1r0/c96L65_am5f3b1r0_pdclim1850F/gfdl.ncrc5-deploy-prod-openmp/pp/atmos_cmip/ts/daily/1yr/atmos_cmip.00030101-00031231.ua200.nc
dev,,,c96L65_am5f3b1r0_pdclim1850F,daily,atmos_cmip,,n/a,,psl,,,,,,,/archive/am5/am5/am5f3b1r0/c96L65_am5f3b1r0_pdclim1850F/gfdl.ncrc5-deploy-prod-openmp/pp/atmos_cmip/ts/daily/1yr/atmos_cmip.00060101-00061231.psl.nc
dev,,,c96L65_am5f3b1r0_pdclim1850F,daily,atmos_cmip,,n/a,,ua850,,,,,,,/archive/am5/am5/am5f3b1r0/c96L65_am5f3b1r0_pdclim1850F/gfdl.ncrc5-deploy-prod-openmp/pp/atmos_cmip/ts/daily/1yr/atmos_cmip.00030101-00031231.ua850.nc
dev,,,c96L65_am5f3b1r0_pdclim1850F,daily,atmos_cmip,,n/a,,sfcWind,,,,,,,/archive/am5/am5/am5f3b1r0/c96L65_am5f3b1r0_pdclim1850F/gfdl.ncrc5-deploy-prod-openmp/pp/atmos_cmip/ts/daily/1yr/atmos_cmip.00060101-00061231.sfcWind.nc
dev,,,c96L65_am5f3b1r0_pdclim1850F,daily,atmos_cmip,,n/a,,uas,,,,,,,/archive/am5/am5/am5f3b1r0/c96L65_am5f3b1r0_pdclim1850F/gfdl.ncrc5-deploy-prod-openmp/pp/atmos_cmip/ts/daily/1yr/atmos_cmip.00030101-00031231.uas.nc
dev,,,c96L65_am5f3b1r0_pdclim1850F,daily,atmos_cmip,,n/a,,tasmax,,,,,,,/archive/am5/am5/am5f3b1r0/c96L65_am5f3b1r0_pdclim1850F/gfdl.ncrc5-deploy-prod-openmp/pp/atmos_cmip/ts/daily/1yr/atmos_cmip.00060101-00061231.tasmax.nc
dev,,,c96L65_am5f3b1r0_pdclim1850F,daily,atmos_cmip,,n/a,,va850,,,,,,,/archive/am5/am5/am5f3b1r0/c96L65_am5f3b1r0_pdclim1850F/gfdl.ncrc5-deploy-prod-openmp/pp/atmos_cmip/ts/daily/1yr/atmos_cmip.00030101-00031231.va850.nc
dev,,,c96L65_am5f3b1r0_pdclim1850F,daily,atmos_cmip,,n/a,,tasmin,,,,,,,/archive/am5/am5/am5f3b1r0/c96L65_am5f3b1r0_pdclim1850F/gfdl.ncrc5-deploy-prod-openmp/pp/atmos_cmip/ts/daily/1yr/atmos_cmip.00060101-00061231.tasmin.nc
dev,,,c96L65_am5f3b1r0_pdclim1850F,daily,atmos_cmip,,n/a,,vas,,,,,,,/archive/am5/am5/am5f3b1r0/c96L65_am5f3b1r0_pdclim1850F/gfdl.ncrc5-deploy-prod-openmp/pp/atmos_cmip/ts/daily/1yr/atmos_cmip.00030101-00031231.vas.nc
dev,,,c96L65_am5f3b1r0_pdclim1850F,daily,atmos_cmip,,n/a,,tas,,,,,,,/archive/am5/am5/am5f3b1r0/c96L65_am5f3b1r0_pdclim1850F/gfdl.ncrc5-deploy-prod-openmp/pp/atmos_cmip/ts/daily/1yr/atmos_cmip.00060101-00061231.tas.nc
dev,,,c96L65_am5f3b1r0_pdclim1850F,daily,atmos_cmip,,n/a,,zg500,,,,,,,/archive/am5/am5/am5f3b1r0/c96L65_am5f3b1r0_pdclim1850F/gfdl.ncrc5-deploy-prod-openmp/pp/atmos_cmip/ts/daily/1yr/atmos_cmip.00030101-00031231.zg500.nc
dev,,,c96L65_am5f3b1r0_pdclim1850F,daily,atmos_cmip,,n/a,,ua10,,,,,,,/archive/am5/am5/am5f3b1r0/c96L65_am5f3b1r0_pdclim1850F/gfdl.ncrc5-deploy-prod-openmp/pp/atmos_cmip/ts/daily/1yr/atmos_cmip.00060101-00061231.ua10.nc
dev,,,c96L65_am5f3b1r0_pdclim1850F,daily,atmos_cmip,,n/a,,hurs,,,,,,,/archive/am5/am5/am5f3b1r0/c96L65_am5f3b1r0_pdclim1850F/gfdl.ncrc5-deploy-prod-openmp/pp/atmos_cmip/ts/daily/1yr/atmos_cmip.00040101-00041231.hurs.nc
dev,,,c96L65_am5f3b1r0_pdclim1850F,daily,atmos_cmip,,n/a,,ua200,,,,,,,/archive/am5/am5/am5f3b1r0/c96L65_am5f3b1r0_pdclim1850F/gfdl.ncrc5-deploy-prod-openmp/pp/atmos_cmip/ts/daily/1yr/atmos_cmip.00060101-00061231.ua200.nc
dev,,,c96L65_am5f3b1r0_pdclim1850F,daily,atmos_cmip,,n/a,,huss,,,,,,,/archive/am5/am5/am5f3b1r0/c96L65_am5f3b1r0_pdclim1850F/gfdl.ncrc5-deploy-prod-openmp/pp/atmos_cmip/ts/daily/1yr/atmos_cmip.00040101-00041231.huss.nc
