GFDL_varname,CMOR_varname,standard_name,long_name,modeling_realm,cmor_units
tot_cld_amt,clt,cloud_area_fraction,Total Cloud Fraction,atmos,%
frc,frc,tendency_of_ocean_mole_content_of_carbon_due_to_sedimentation,Downward Carbon Flux at Ocean Bottom,ocean_biochem,mol m-2 s-1
bddtalk,bddtalk,tendency_of_sea_water_alkalinity_expressed_as_mole_equivalent_due_to_biological_processes,Rate of Change of Alkalinity due to Biological Activity,ocean_biochem,mol m-3 s-1
cfadLidarsr532_sat,cfadLidarsr532,histogram_of_backscattering_ratio_over_height_above_reference_ellipsoid,CALIPSO Scattering Ratio,atmos,1
sphum,husClim,specific_humidity,Specific Humidity,atmos,1
cllcalipso_sat,cllcalipso,cloud_area_fraction_in_atmosphere_layer,CALIPSO Low Level Cloud Fraction,atmos,%
rh_ref_cmip_max,rhsmax,relative_humidity,Surface Daily Maximum Relative Humidity,atmos,%
hfls,hflsClim,surface_upward_latent_heat_flux,Surface Upward Latent Heat Flux,atmos,W m-2
t_surf,ts,surface_temperature,Surface Temperature,land,K
ccice,clic,mass_fraction_of_convective_cloud_ice_in_air,Mass Fraction of Convective Cloud Ice,atmos,1
thkcello,thkcello,cell_thickness,Ocean Model Cell Thickness,ocean,m
cl,cl,cloud_area_fraction_in_atmosphere_layer,Cloud Area Fraction,atmos,%
WVP,prw,atmosphere_water_vapor_content,Water Vapor Path,atmos,kg m-2
rh_cmip,hur,relative_humidity,Relative Humidity,atmos,%
sconcss,sconcss,mass_concentration_of_seasalt_dry_aerosol_in_air,Surface Concentration of Seasalt,atmos,kg m-3
zos,zos,sea_surface_height_above_geoid,Sea Surface Height Above Geoid,ocean,m
pon,pon,mole_concentration_of_particulate_organic_matter_expressed_as_nitrogen_in_sea_water,Particulate Organic Nitrogen Concentration,ocean_biochem,mol m-3
rsu,rsu,upwelling_shortwave_flux_in_air,Upwelling Shortwave Radiation,atmos,W m-2
chlpico,chlpico,mass_concentration_of_picophytoplankton_expressed_as_chlorophyll_in_sea_water,Mass Concentration of Picophytoplankton expressed as Chlorophyll in Sea Water at Surface,ocean_biochem,kg m-3
sfc_salt_flux_ice,sfdsi,downward_sea_ice_basal_salt_flux,Downward Sea Ice Basal Salt Flux,ocean & seaIce,kg m-2 s-1
po4,po4,mole_concentration_of_phosphate_in_sea_water,Dissolved Phosphate Concentration,ocean_biochem,mol m-3
wt,wo,upward_sea_water_velocity,Upward Sea Water Velocity,ocean,m s-1
snoToice,snoToIce,tendency_of_sea_ice_amount_due_to_snow_conversion,Snow-Ice Formation Rate,ocean & ice,kg m-2 s-1
hfss,hfss,surface_downward_sensible_heat_flux,Surface Downward Sensible Heat Flux,ocean,W m-2
fescav,fescav,tendency_of_mole_concentration_of_dissolved_iron_in_sea_water_due_to_scavenging_by_inorganic_particles,Nonbiogenic Iron Scavenging,ocean_biochem,mol m-3 s-1
strairx,strairx,surface_downward_x_stress,Eastward atmospheric stress on sea ice,ocean & ice,N m-2
SO2_ddep_cmip,dryso2,tendency_of_atmosphere_mass_content_of_sulfur_dioxide_due_to_dry_deposition,Dry Deposition Rate of SO2,aerosol,kg m-2 s-1
snw,snw,surface_snow_amount,Surface Snow Amount,land_ice,kg m-2
NH3_ddep_cmip,drynh3,tendency_of_atmosphere_mass_content_of_ammonia_due_to_dry_deposition,Dry Deposition Rate of NH3,aerosol,kg m-2 s-1
pp,pp,tendency_of_mole_concentration_of_particulate_organic_matter_expressed_as_carbon_in_sea_water_due_to_net_primary_production,Primary Carbon Production by Phytoplankton,ocean_biochem,mol m-3 s-1
cldnvi,cldnvi,atmosphere_number_content_of_cloud_droplets,Column Integrated Cloud Droplet Number,atmos,m-2
water,mrso,soil_moisture_content,Total Soil Moisture Content,land,kg m-2
swup_toa_clr,rsutcsClim,toa_outgoing_shortwave_flux_assuming_clear_sky,TOA Outgoing Clear-Sky Shortwave Radiation,atmos,W m-2
clis,clis,mass_fraction_of_stratiform_cloud_ice_in_air,Mass Fraction of Stratiform Cloud Ice,atmos,1
hfnorthdiff,hfnorthdiff,northward_ocean_heat_transport_due_to_diffusion,Northward Ocean Heat Transport due to Diffusion,ocean,W
omlmax,omlmax,ocean_mixed_layer_thickness_defined_by_mixing_scheme,Monthly Maximum Ocean Mixed Layer Thickness Defined by Mixing Scheme,ocean,m
pbsi,pbsi,tendency_of_mole_concentration_of_silicon_in_sea_water_due_to_biological_production,Biogenic Silica Production,ocean_biochem,mol m-3 s-1
tz_trans_sq,wmosq,square_of_upward_ocean_mass_transport,Square of Upward Ocean Mass Transport,ocean,kg2 s-2
dem_c,demc,convective_cloud_longwave_emissivity,Convective Cloud Emissivity,atmos,1
tauvo,tauvo,surface_downward_y_stress,Surface Downward Y Stress,ocean,N m-2
u_ref,uasClim,eastward_wind,Eastward Near-Surface Wind,aerosol,m s-1
mld_sq,mlotstsq,square_of_ocean_mixed_layer_thickness_defined_by_sigma_t,Square of Ocean Mixed Layer Thickness Defined by Sigma T,ocean,m2
reff_lsclice,reffclis,effective_radius_of_stratiform_cloud_ice_particle,Hydrometeor Effective Radius of Stratiform Cloud Ice,atmos,m
cld_amt_2d,clt,cloud_area_fraction,Total Cloud Fraction,atmos,%
mfo,mfo,sea_water_transport_across_line,Sea Water Transport,ocean,kg s-1
clisccp,clisccp,cloud_area_fraction_in_atmosphere_layer,ISCCP Cloud Area Fraction,atmos,%
si,si,mole_concentration_of_silicate_in_sea_water,Dissolved Silicate Concentration,ocean_biochem,mol m-3
bfe,bfe,mole_concentration_of_particulate_organic_matter_expressed_as_iron_in_sea_water,Particulate Biogenic Iron Concentration at Surface,ocean_biochem,mol m-3
pbfe,pbfe,tendency_of_mole_concentration_of_iron_in_sea_water_due_to_biological_production,Biogenic Iron Production,ocean_biochem,mol m-3 s-1
phyn,phyn,mole_concentration_of_phytoplankton_expressed_as_nitrogen_in_sea_water,Phytoplankton Nitrogen Concentration,ocean_biochem,mol m-3
bsi,bsi,mole_concentration_of_particulate_matter_expressed_as_silicon_in_sea_water,Particulate Biogenic Silica Concentration at Surface,ocean_biochem,mol m-3
rsdssi,rsdssi,surface_downwelling_shortwave_flux_in_air,Downward Shortwave over Sea Ice,ocean & ice,W m-2
rho_dzt,masscello,sea_water_mass_per_unit_area,Sea Water Mass Per Unit Area,ocean,kg m-2
dtau_c,dtauc,atmosphere_optical_thickness_due_to_convective_cloud,Convective Cloud Optical Depth,atmos,1
sfc_hflux_from_runoff,hfrunoffds,temperature_flux_due_to_runoff_expressed_as_heat_flux_into_sea_water,Temperature Flux due to Runoff Expressed as Heat Flux into Sea Water,ocean,W m-2
eviscu,eviscu,atmosphere_momentum_diffusivity,Eddy Viscosity Coefficients for Momentum,atmos,m2 s-1
grFrazil,grFrazil,tendency_of_sea_ice_amount_due_to_frazil_ice_accumulation_in_leads,Frazil Sea Ice Growth (Leads) Rate,ocean & ice,kg m-2 s-1
zossga,zossga,global_average_steric_sea_level_change,Global Average Steric Sea Level Change,ocean,m
swup_sfc,rsus,surface_upwelling_shortwave_flux_in_air,Surface Upwelling Shortwave Radiation,atmos,W m-2
rsdcs,rsdcs,downwelling_shortwave_flux_in_air_assuming_clear_sky,Downwelling Clear-Sky Shortwave Radiation,atmos,W m-2
msftyyzba,msftyyzba,ocean_y_overturning_mass_streamfunction_due_to_bolus_advection,Ocean Y Overturning Mass Streamfunction due to Bolus Advection,ocean,kg s-1
tsnint,tsnint,temperature_at_interface_between_sea_ice_and_snow,Temperature at Interface Between Sea Ice and Snow,ocean & ice,K
intpbp,intpbp,tendency_of_ocean_mole_content_of_phosphorus_due_to_biological_production,Phosphorus Production,ocean_biochem,mol m-2 s-1	
pme_river,wfo,water_flux_into_sea_water,Water Flux Into Sea Water,ocean,kg m-2 s-1
concso2,concso2,mole_fraction_of_sulfur_dioxide_in_air,Mole Fraction of SO2,aerosol,1
phyfe,phyfe,mole_concentration_of_phytoplankton_expressed_as_iron_in_sea_water,Phytoplankton Iron Concentration,ocean_biochem,mol m-3
fbddtdic,fbddtdic,tendency_of_ocean_mole_content_of_dissolved_inorganic_carbon_due_to_biological_processes,Rate of Change of Dissolved Inorganic Carbon due to Biological Activity,ocean_biochem,mol m-2 s-1
mrsofc,mrsofc,soil_moisture_content_at_field_capacity,Capacity of Soil to Store Water,land,kg m-2
concpoa,concpoa,mass_concentration_of_primary_particulate_organic_matter_dry_aerosol_in_air,Concentration of Dry Aerosol Primary Organic Matter,aerosol,kg m-3
mrso,mrsoClim,soil_moisture_content,Total Soil Moisture Content,land,kg m-2
sfc_po45,po4,??,phosphate,atmos,mol P m-3
cfadDbze94_sat,cfadDbze94,histogram_of_equivalent_reflectivity_factor_over_height_above_reference_ellipsoid,CloudSat Radar Reflectivity CFAD,atmos,1
intpcalcite,intpcalcite,tendency_of_ocean_mole_content_of_calcite_expressed_as_carbon_due_to_biological_production,Calcite Production,ocean_biochem,mol m-2 s-1
snc,snc,surface_snow_area_fraction,Surface Snow Area Fraction,ocean & ice,%
clcalipso2,clcalipso2,cloud_area_fraction_in_atmosphere_layer,CALIPSO Cloud Fraction Undetected by CloudSat,atmos,%
rsds,rsds,downwelling_shortwave_flux_in_sea_water,Downwelling Shortwave Radiation in Sea Water,ocean,W m-2
volo,volo,sea_water_volume,Sea Water Volume,ocean,m3
cdnc,cdnc,number_concentration_of_cloud_liquid_water_particles_in_air,Cloud Droplet Number Concentration,aerosol,m-3
epcalc100,epcalc100,sinking_mole_flux_of_calcite_expressed_as_carbon_in_sea_water,Downward Flux of Calcite,ocean_biochem,mol m-2 s-1
si,si,mole_concentration_of_silicate_in_sea_water,Dissolved Silicate Concentration at Surface,ocean_biochem,mol m-3
o2,o2,mole_concentration_of_molecular_oxygen_in_sea_water,Dissolved Oxygen Concentration at Surface,ocean_biochem,mol m-3	
reff_ccclliq,reffclwc,effective_radius_of_convective_cloud_liquid_water_particle,Hydrometeor Effective Radius of Convective Cloud Liquid Water,atmos,m
sfc_hflux_from_water_evap,hfevapds,temperature_flux_due_to_evaporation_expressed_as_heat_flux_out_of_sea_water,Temperature Flux due to Evaporation Expressed as Heat Flux Out of Sea Water,ocean,W m-2
tasmin,tasmin,air_temperature,Daily Minimum Near-Surface Air Temperature,atmos,K
rh_ref,rh_ref,relative_humidity,relative humidity at 2 m,atmos,percent
wfo,wfo,water_flux_into_sea_water,Water Flux Into Sea Water,ocean,kg m-2 s-1
conv_freq,ciClim,convection_time_fraction,Fraction of Time Convection Occurs,atmos,1
hfgeou,hfgeou,upward_geothermal_heat_flux_at_sea_floor,Upward Geothermal Heat Flux at Sea Floor,ocean,W m-2
detoc,detoc,mole_concentration_of_organic_detritus_expressed_as_carbon_in_sea_water,Detrital Organic Carbon Concentration,ocean_biochem,mol m-3
graz,graz,tendency_of_mole_concentration_of_dissolved_iron_in_sea_water_due_to_grazing_of_phytoplankton,Total Grazing of Phytoplankton by Zooplankton,ocean_biochem,mol m-3 s-1
omldamax_mon,omldamax,ocean_mixed_layer_thickness_defined_by_mixing_scheme,Mean Daily Maximum Ocean Mixed Layer Thickness Defined by Mixing Scheme,ocean,m
concbc,concbc,mass_concentration_of_black_carbon_dry_aerosol_in_air,Concentration of Black Carbon Aerosol,aerosol,kg m-3
dpocdtpico,dpocdtpico,tendency_of_mole_concentration_of_particulate_organic_matter_expressed_as_carbon_in_sea_water_due_to_net_primary_production_by_picophytoplankton,Tendency of Mole Concentration of Organic Carbon in Sea Water due to Net Primary Production by Picophytoplankton,ocean_biochem,mol m-3 s-1
tntr,tntr,tendency_of_air_temperature_due_to_radiative_heating,Tendency of Air Temperature due to Radiative Heating,atmos,K s-1
eparag100,eparag100,sinking_mole_flux_of_aragonite_expressed_as_carbon_in_sea_water,Downward Flux of Aragonite,ocean_biochem,mol m-2 s-1
SOA_ddep,drysoa,tendency_of_atmosphere_mass_content_of_secondary_particulate_organic_matter_dry_aerosol_due_to_dry_deposition,Dry Deposition Rate of Dry Aerosol Secondary Organic Matter,aerosol,kg m-2 s-1
mld,mlotst,ocean_mixed_layer_thickness_defined_by_sigma_t,Ocean Mixed Layer Thickness Defined by Sigma T,ocean,m
sea_level,zos,sea_surface_height_above_geoid,Sea Surface Height Above Geoid,ocean,m
gridspec,gridspec,[gridspec_seaIce],Gridspec,ocean & ice,
diff_t,edt,atmosphere_heat_diffusivity,Eddy Diffusivity Coefficient for Temperature Variable,atmos,m2 s-1
diff_cbt_tides,difvtrto,ocean_vertical_tracer_diffusivity_due_to_tides,Ocean Vertical Tracer Diffusivity due to Tides,ocean,m2 s-1
temp_global_ave,thetaoga,sea_water_potential_temperature,Global Average Sea Water Potential Temperature,ocean,K
swup_toa,rsut4co2,toa_outgoing_shortwave_flux,TOA Outgoing Shortwave Radiation in 4XCO2 Atmosphere,atmos,W m-2
prec_conv,prcClim,convective_precipitation_flux,Convective Precipitation,atmos,kg m-2 s-1
msftyrhozba,msftyrhozba,ocean_y_overturning_mass_streamfunction_due_to_bolus_advection,Ocean Y Overturning Mass Streamfunction due to Bolus Advection,ocean,kg s-1
SWDN,rsds,downwelling_shortwave_flux_in_sea_water,Downwelling Shortwave Radiation in Sea Water,ocean,W m-2
clws,clws,mass_fraction_of_stratiform_cloud_liquid_water_in_air,Mass Fraction of Stratiform Cloud Liquid Water,atmos,1
sconcso4,sconcso4,mass_concentration_of_sulfate_dry_aerosol_in_air,Surface Concentration of SO4,atmos,kg m-3
msftmyz,msftmyz,ocean_meridional_overturning_mass_streamfunction,Ocean Meridional Overturning Mass Streamfunction,ocean,kg s-1
vmo,vmo,ocean_mass_y_transport,Ocean Mass Y Transport,ocean,kg s-1
mc_half,mc,atmosphere_net_upward_convective_mass_flux,Convective Mass Flux,atmos,kg m-2 s-1
dpo2,dpo2,surface_molecular_oxygen_partial_pressure_difference_between_sea_water_and_air,Delta PO2,ocean_biochem,Pa
hflssi,hflssi,surface_upward_latent_heat_flux,Surface Upward Latent Heat Flux over Sea Ice,ocean & ice,W m-2
t_ref,tasClim,air_temperature,Near-Surface Air Temperature,atmos,K
power_diss,tnpeo,tendency_of_ocean_potential_energy_content,Tendency of Ocean Potential Energy Content,ocean,W m-2
olr_clr,rlutcs,toa_outgoing_longwave_flux_assuming_clear_sky,TOA Outgoing Clear-Sky Longwave Radiation,atmos,W m-2
rootd,rootd,soil_moisture_content_at_field_capacity,Capacity of Soil to Store Water,land,kg m-2
tauv,tauvClim,surface_downward_northward_stress,Surface Downward Northward Wind Stress,atmos,Pa
cRoot,cRoot,root_carbon_content,Carbon Mass in Roots,land,kg m-2
mrros,mrros,surface_runoff_flux,Surface Runoff,land,kg m-2 s-1
snow_tot,prsn,snowfall_flux,Snowfall Flux,atmos,kg m-2 s-1
pnew,pnew,tendency_of_mole_concentration_of_organic_carbon_in_sea_water_due_to_net_new_primary_production,Primary Carbon Production by Phytoplankton Based on NO3 Alone,ocean_biochem,mol m-3 s-1
msftmrhoz,msftmrhoz,ocean_meridional_overturning_mass_streamfunction,Ocean Meridional Overturning Mass Streamfunction,ocean,kg s-1
detoc,detoc,mole_concentration_of_organic_detritus_expressed_as_carbon_in_sea_water,Detrital Organic Carbon Concentration at Surface,ocean_biochem,mol m-3	
masso,masso,sea_water_mass,Sea Water Mass,ocean,kg
dtau_s,dtaus,atmosphere_optical_thickness_due_to_stratiform_cloud,Stratiform Cloud Optical Depth,atmos,1
epn100,epn100,sinking_mole_flux_of_particulate_organic_nitrogen_in_sea_water,Downward Flux of Particulate Organic Nitrogen,ocean_biochem,mol m-2 s-1
psiu,msftbarot,ocean_barotropic_mass_streamfunction,Ocean Barotropic Mass Streamfunction,ocean,kg s-1
fbddtdin,fbddtdin,tendency_of_ocean_mole_content_of_dissolved_inorganic_nitrogen_due_to_biological_processes,Rate of Change of Dissolved Inorganic Nitrogen due to Biological Activity,ocean_biochem,mol m-2 s-1
diftrelo,diftrelo,ocean_tracer_epineutral_laplacian_diffusivity,Ocean Tracer Epineutral Laplacian Diffusivity,ocean,m2 s-1
SH,hfss,surface_downward_sensible_heat_flux,Surface Downward Sensible Heat Flux,ocean,W m-2
lsice,clis,mass_fraction_of_stratiform_cloud_ice_in_air,Mass Fraction of Stratiform Cloud Ice,atmos,1
evisct,evisct,atmosphere_heat_diffusivity,Eddy Diffusivity Coefficients for Temperature,atmos,m2 s-1
chlmisc,chlmisc,mass_concentration_of_miscellaneous_phytoplankton_expressed_as_chlorophyll_in_sea_water,"Other Phytoplankton Chlorophyll Mass Concentration
",ocean_biochem,kg m-3
fLuc,fLuc,surface_net_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_emission_from_anthropogenic_land_use_change,Net Carbon Mass Flux into Atmosphere due to Land Use Change,land,kg m-2 s-1
swup_toa,rsutClim,toa_outgoing_shortwave_flux,TOA Outgoing Shortwave Radiation,atmos,W m-2
swdn_sfc_clr,rsdscs,surface_downwelling_shortwave_flux_in_air_assuming_clear_sky,Surface Downwelling Clear-Sky Shortwave Radiation,atmos,W m-2
tsice,tsice,surface_temperature,Surface Temperature of Sea Ice,ocean & ice,K
cldncl,cldncl,number_concentration_of_cloud_liquid_water_particles_in_air_at_liquid_water_cloud_top,Cloud Droplet Number Concentration of Cloud Tops,atmos,m-3
soga,soga,sea_water_salinity,Global Mean Sea Water Salinity,ocean,psu
conv_cld_base,ccbClim,air_pressure_at_convective_cloud_base,Air Pressure at Convective Cloud Base,atmos,Pa
tclisccp,cltisccp,cloud_area_fraction,ISCCP Total Cloud Fraction,atmos,%
tran,tran,transpiration_flux,Transpiration,land,kg m-2 s-1
nh4,nh4,mole_concentration_of_ammonium_in_sea_water,Dissolved Ammonium Concentration at Surface,ocean_biochem,mol m-3	
ph,ph,sea_water_ph_reported_on_total_scale,pH at Surface,ocean_biochem,1
rh,rh,heterotrophic_respiration_carbon_flux,Carbon Mass Flux into Atmosphere due to Heterotrophic Respiration on Land,land,kg m-2 s-1
msftyyz,msftyyz,ocean_y_overturning_mass_streamfunction,Ocean Y Overturning Mass Streamfunction,ocean,kg s-1
SSH,zos,sea_surface_height_above_geoid,Sea Surface Height Above Geoid,ocean,m
ice_calving,ficeberg,water_flux_into_sea_water_from_icebergs,Water Flux into Sea Water From Icebergs,ocean,kg m-2 s-1
cfc_11,cfc11,moles_per_unit_mass_of_cfc11_in_sea_water,Moles Per Unit Mass of CFC-11 in Sea Water,ocean,mol kg-1
pfull_cmip,pfull,air_pressure,Pressure on Model Full-Levels,atmos,Pa
lwdn_sfc,rlds,surface_downwelling_longwave_flux_in_air,Surface Downwelling Longwave Radiation,atmos,W m-2
cllcalipso,cllcalipso,cloud_area_fraction_in_atmosphere_layer,CALIPSO Low Level Cloud Fraction,atmos,%
omg500,wap500,lagrangian_tendency_of_air_pressure,omega (=dp/dt),atmos,Pa s-1
usi,usi,eastward_sea_ice_velocity,Eastward Sea Ice Velocity,seaIce & ocean,m s-1
tntscpbl2,tntscpbl,tendency_of_air_temperature_due_to_stratiform_cloud_and_precipitation_and_boundary_layer_mixing,Tendency of Air Temperature due to Stratiform Cloud Condensation and Evaporation,atmos,K s-1
cVeg,cVeg,vegetation_carbon_content,Carbon Mass in Vegetation,land,kg m-2
dispkevfo,dispkevfo,ocean_kinetic_energy_dissipation_per_unit_area_due_to_vertical_friction,Ocean Kinetic Energy Dissipation Per Unit Area due to Vertical Friction,ocean,W m-2
mlotst,mlotst,ocean_mixed_layer_thickness_defined_by_sigma_t,Ocean Mixed Layer Thickness Defined by Sigma T,ocean,m
bddtdisi,bddtdisi,tendency_of_mole_concentration_of_dissolved_inorganic_silicate_in_sea_water_due_to_biological_processes,Rate of Change of Dissolved Inorganic Silicate due to Biological Activity,ocean_biochem,mol m-3 s-1
cSoilFast,cSoilFast,fast_soil_pool_carbon_content,Carbon Mass in Fast Soil Pool,land,kg m-2
aer_ab_c_vs,abs550aer,atmosphere_absorption_optical_thickness_due_to_ambient_aerosol,Ambient Aerosol Absorption Optical Thickness at 550 nm,aerosol,1
bsi,bsi,mole_concentration_of_particulate_matter_expressed_as_silicon_in_sea_water,Particulate Biogenic Silica Concentration,ocean_biochem,mol m-3
power_diss_back,tnpeotb,tendency_of_ocean_potential_energy_content_due_to_background,Tendency of Ocean Potential Energy Content due to Background,ocean,W m-2
cli,cliClim,mass_fraction_of_cloud_ice_in_air,Mass Fraction of Cloud Ice,atmos,1
talk,talk,sea_water_alkalinity_expressed_as_mole_equivalent,Total Alkalinity,ocean_biochem,mol m-3
sconcsoa,sconcsoa,mass_concentration_of_secondary_particulate_organic_matter_dry_aerosol_in_air,Surface Concentration of Dry Aerosol Secondary Organic Matter,aerosol,kg m-3
phyp,phyp,mole_concentration_of_phytoplankton_expressed_as_phosphorus_in_sea_water,Phytoplankton Phosphorus Concentration at Surface,ocean_biochem,mol m-3
phydiat,phydiat,mole_concentration_of_diatoms_expressed_as_carbon_in_sea_water,"Mole Concentration of Diatoms expressed as Carbon in Sea Water
",ocean_biochem,mol m-3
mrsos,mrsosClim,moisture_content_of_soil_layer,Moisture in Upper Portion of Soil Column,land,kg m-2
NH3_emis_cmip2,eminh3,tendency_of_atmosphere_mass_content_of_ammonia_due_to_emission,Total Emission Rate of NH3,aerosol,kg m-2 s-1
VI,vsi,northward_sea_ice_velocity,Northward Sea Ice Velocity,seaIce & ocean,m s-1
t_ref_max,tasmax,air_temperature,Daily Maximum Near-Surface Air Temperature,atmos,K
runoff,friver,water_flux_into_sea_water_from_rivers,Water Flux into Sea Water From Rivers,ocean,kg m-2 s-1
soil_T,tsl,soil_temperature,Temperature of Soil,land,K
hght,zg,geopotential_height,Geopotential Height,atmos,m
sss,sos,sea_surface_salinity,Sea Surface Salinity,ocean,psu
msftbarot,msftbarot,ocean_barotropic_mass_streamfunction,Ocean Barotropic Mass Streamfunction,ocean,kg s-1
intppico,intppico,net_primary_mole_productivity_of_carbon_by_picophytoplankton,Net Primary Mole Productivity of Carbon by Picophytoplankton,ocean_biochem,mol m-2 s-1
SOA_col,loadsoa,atmosphere_mass_content_of_secondary_particulate_organic_matter_dry_aerosol,Load of Dry Aerosol Secondary Organic Matter,atmos,kg m-2
aer_ex_c_870,od870aer,atmosphere_optical_thickness_due_to_ambient_aerosol,Ambient Aerosol Opitical Thickness at 870 nm,aerosol,1
fprec,prsn,snowfall_flux,Snowfall Flux where Ice Free Ocean over Sea,ocean,kg m-2 s-1
snm,snmClim,surface_snow_melt_flux,Surface Snow Melt,ocean & ice,kg m-2 s-1
ridgice,ridgice,tendency_of_sea_ice_area_fraction_due_to_ridging,Sea Ice Ridging Rate,ocean & ice,s-1
rh_ref_cmip,hursClim,relative_humidity,Near-Surface Relative Humidity,atmos,%
temp,ta,air_temperature,Air Temperature,atmos,K
intdic,intdic,ocean_mass_content_of_dissolved_inorganic_carbon,Dissolved Inorganic Carbon Content,ocean_biochem,kg m-2	
om_ddep,drypoa,tendency_of_atmosphere_mass_content_of_primary_particulate_organic_matter_dry_aerosol_due_to_dry_deposition,Dry Deposition Rate of Dry Aerosol Primary Organic Matter,aerosol,kg m-2 s-1
physi,physi,mole_concentration_of_phytoplankton_expressed_as_silicon_in_sea_water,Phytoplankton Silica Concentration at Surface,ocean_biochem,mol m-3
fHarvest,fHarvest,surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_emission_from_crop_harvesting,Carbon Mass Flux into Atmosphere due to Crop Harvesting,land,kg m-2 s-1
expn,expn,sinking_mole_flux_of_particulate_organic_nitrogen_in_sea_water,Sinking Particulate Organic Nitrogen Flux,ocean_biochem,mol m-2 s-1
dcalc,dcalc,tendency_of_mole_concentration_of_calcite_expressed_as_carbon_in_sea_water_due_to_dissolution,Calcite Dissolution,ocean_biochem,mol m-3 s-1
olr,rlut,toa_outgoing_longwave_flux,TOA Outgoing Longwave Radiation,atmos,W m-2
cfc11,cfc11,moles_of_cfc11_per_unit_mass_in_sea_water,Moles Per Unit Mass of CFC-11 in Sea Water,ocean,mol kg-1
vhgm_rho,msftyyzba,ocean_y_overturning_mass_streamfunction_due_to_bolus_advection,Ocean Y Overturning Mass Streamfunction due to Bolus Advection,ocean,kg s-1
tasmax,tasmaxClim,air_temperature,Daily Maximum Near-Surface Air Temperature,atmos,K
concdms,concdms,mole_fraction_of_dimethyl_sulfide_in_air,Mole Fraction of DMS,aerosol,1
diff_cbt_back,difvtrbo,ocean_vertical_tracer_diffusivity_due_to_background,Ocean Vertical Tracer Diffusivity due to Background,ocean,m2 s-1
pbo,pbo,sea_water_pressure_at_sea_floor,Sea Water Pressure at Sea floor,ocean,dbar
concoa,concoa,mass_concentration_of_particulate_organic_matter_dry_aerosol_in_air,Concentration of Dry Aerosol Organic Matter,aerosol,kg m-3
diff_m,evu,atmosphere_momentum_diffusivity,Eddy Viscosity Coefficient for Momentum Variables,atmos,m2 s-1
dissic,dissic,mole_concentration_of_dissolved_inorganic_carbon_in_sea_water,Dissolved Inorganic Carbon Concentration at Surface,ocean_biochem,mol m-3
t_ref_min,tasmin,air_temperature,Daily Minimum Near-Surface Air Temperature,atmos,K
fddtdic,fddtdic,tendency_of_ocean_mole_content_of_dissolved_inorganic_carbon,Rate of Change of Net Dissolved Inorganic Carbon,ocean_biochem,mol m-2 s-1
cli,cli,mass_fraction_of_cloud_ice_in_air,Mass Fraction of Cloud Ice,atmos,1
