GFDL_varname,CMOR_varname,standard_name,long_name,modeling_realm,cmor_units
sst_sq,tossq,square_of_sea_surface_temperature,Square of Sea Surface Temperature,ocean,K2
gm_eddy_ke_source,tnkebto,tendency_of_ocean_eddy_kinetic_energy_content_due_to_bolus_transport,Tendency of Ocean Eddy Kinetic Energy Content due to Bolus Transport,ocean,W m-2
tnhusmp,tnhusmp,tendency_of_specific_humidity_due_to_model_physics,Tendency of Specific Humidity due to Model Physics,atmos,s-1
WP_all_clouds,clwviClim,atmosphere_cloud_condensed_water_content,Condensed Water Path,atmos,kg m-2
cSoilMedium,cSoilMedium,medium_soil_pool_carbon_content,Carbon Mass in Medium Soil Pool,land,kg m-2
lai,lai,leaf_area_index,Leaf Area Index,land,1
IWP_all_clouds,clivi,atmosphere_cloud_ice_content,Ice Water Path,atmos,kg m-2
mrsos,mrsos,moisture_content_of_soil_layer,Moisture in Upper Portion of Soil Column,land,kg m-2
no3,no3,mole_concentration_of_nitrate_in_sea_water,Dissolved Nitrate Concentration at Surface,ocean_biochem,mol m-3
zsatarag,zsatarag,minimum_depth_of_aragonite_undersaturation_in_sea_water,Aragonite Saturation Depth,ocean_biochem,m
aiso_bih,difmxybo,ocean_momentum_xy_biharmonic_diffusivity,Ocean Momentum XY Biharmonic Diffusivity,ocean,m4 s-1
prsn,prsn,snowfall_flux,Snowfall Flux where Ice Free Ocean over Sea,ocean,kg m-2 s-1
sens_heat,hfss,surface_downward_sensible_heat_flux,Surface Downward Sensible Heat Flux,ocean,W m-2
evspsblsoi,evspsblsoiClim,water_evaporation_flux_from_soil,Water Evaporation from Soil,land,kg m-2 s-1
sulfate_col_cmip,loadso4,atmosphere_mass_content_of_sulfate_dry_aerosol,Load of SO4,atmos,kg m-2
ccliq,clwc,mass_fraction_of_convective_cloud_liquid_water_in_air,Mass Fraction of Convective Cloud Liquid Water,atmos,1
clmcalipso_sat,clmcalipso,cloud_area_fraction_in_atmosphere_layer,CALIPSO Mid Level Cloud Fraction,atmos,%
tot_nh4_col,loadnh4,atmosphere_mass_content_of_ammonium_dry_aerosol,Load of NH4,atmos,kg m-2
pr_ocean,pr,rainfall_flux,Rainfall Flux where Ice Free Ocean over Sea,ocean,kg m-2 s-1
lw_heat,rlds,surface_net_downward_longwave_flux,Surface Net Downward Longwave Radiation,ocean,W m-2
