GFDL_varname,CMOR_varname,standard_name,long_name,mipTable,cmor_units
od550no3,od550no3,atmosphere_optical_thickness_due_to_nitrate_ambient_aerosol_particles,nitrate aod@550nm,AERmon,1,
drynoy,drynoy,minus_tendency_of_atmosphere_mass_content_of_noy_expressed_as_nitrogen_due_to_dry_deposition,dry deposition rate of noy,AERmon,kg m-2 s-1,
emico,emico,tendency_of_atmosphere_mass_content_of_carbon_monoxide_due_to_emission,total emission rate of co,AERmon,kg m-2 s-1,
no,no,mole_fraction_of_nitrogen_monoxide_in_air,NO volume mixing ratio,AERmon,mol mol-1,
tropoz,tropoz,equivalent_thickness_at_stp_of_atmosphere_ozone_content,Tropospheric Ozone Column,AERmon,m,
h2o,h2o,mass_fraction_of_water_in_air,Mass Fraction of Water,AERmon,1,
mmrpm10,mmrpm10,mass_fraction_of_pm10_ambient_aerosol_particles_in_air,PM10 mass mixing ratio,AERmon,kg kg-1,
emidms,emidms,tendency_of_atmosphere_mass_content_of_dimethyl_sulfide_due_to_emission,total emission rate of dms,AERmon,kg m-2 s-1,
dryss,dryss,minus_tendency_of_atmosphere_mass_content_of_sea_salt_dry_aerosol_particles_due_to_dry_deposition,dry deposition rate of seasalt,AERmon,kg m-2 s-1,
pan,pan,mole_fraction_of_peroxyacetyl_nitrate_in_air,PAN volume mixing ratio,AERmon,mol mol-1,
od550aer,od550aer,atmosphere_optical_thickness_due_to_ambient_aerosol_particles,ambient aerosol optical thickness at 550 nm,AERmon,1,
emiso2,emiso2,tendency_of_atmosphere_mass_content_of_sulfur_dioxide_due_to_emission,total emission rate of so2,AERmon,kg m-2 s-1,
cheaqpso4,cheaqpso4,tendency_of_atmosphere_mass_content_of_sulfate_dry_aerosol_particles_due_to_aqueous_phase_net_chemical_production,Aqueous-phase production rate of SO4,AERmon,kg m-2 s-1,
od550aerh2o,od550aerh2o,atmosphere_optical_thickness_due_to_water_in_ambient_aerosol_particles,aerosol water aod@550nm,AERmon,1,
od550oa,od550oa,atmosphere_optical_thickness_due_to_particulate_organic_matter_ambient_aerosol_particles,total organic aerosol aod@550nm,AERmon,1,
emiisop,emiisop,tendency_of_atmosphere_mass_content_of_isoprene_due_to_emission,total emission rate of isoprene,AERmon,kg m-2 s-1,
mmraerh2o,mmraerh2o,mass_fraction_of_water_in_ambient_aerosol_particles_in_air,Aerosol water mass mixing ratio,AERmon,kg kg-1,
od870aer,od870aer,atmosphere_optical_thickness_due_to_ambient_aerosol_particles,ambient aerosol optical thickness at 870 nm,AERmon,1,
ccn,ccn,number_concentration_of_cloud_condensation_nuclei_at_stp_in_air,cloud condensation nuclei concentration at liquid cloud top,AERmon,m-3,
eminh3,eminh3,tendency_of_atmosphere_mass_content_of_ammonia_due_to_emission,total emission rate of nh3,AERmon,kg m-2 s-1,
wetss,wetss,minus_tendency_of_atmosphere_mass_content_of_sea_salt_dry_aerosol_particles_due_to_wet_deposition,Wet Deposition Rate of Seasalt,AERmon,kg m-2 s-1,
drydust,drydust,minus_tendency_of_atmosphere_mass_content_of_dust_dry_aerosol_particles_due_to_dry_deposition,dry deposition rate of dust,AERmon,kg m-2 s-1,
emivoc,emivoc,tendency_of_atmosphere_mass_content_of_nmvoc_due_to_emission,total emission rate of nmvoc,AERmon,kg m-2 s-1,
ps,ps,surface_air_pressure,Surface pressure,AERhr,Pa,
sfpm25,sfpm25,mass_fraction_of_pm2p5_ambient_aerosol_particles_in_air,PM2.5 mass mixing ratio in lowest model layer,AERhr,kg kg-1,
sfno2,sfno2,mole_fraction_of_nitrogen_dioxide_in_air,NO2 volume mixing ratio in lowest model layer,AERhr,mol mol-1,
sfo3,sfo3,mole_fraction_of_ozone_in_air,O3 volume mixing ratio in lowest model layer,AERhr,mol mol-1,
sossq,sossq,square_of_sea_surface_salinity,Square of Sea Surface Salinity,Oday,1e-06,
sosga,sosga,sea_surface_salinity,Global Average Sea Surface Salinity,Omon,0.001,
sossq,sossq,square_of_sea_surface_salinity,Square of Sea Surface Salinity,Omon,1e-06,
mlotstmax,mlotstmax,ocean_mixed_layer_thickness_defined_by_sigma_t,Maximum Ocean Mixed Layer Thickness Defined by Sigma T,Omon,m,
mlotstmin,mlotstmin,ocean_mixed_layer_thickness_defined_by_sigma_t,Minimum Ocean Mixed Layer Thickness Defined by Sigma T,Omon,m,
obvfsq,obvfsq,square_of_brunt_vaisala_frequency_in_sea_water,Square of Brunt Vaisala Frequency in Sea Water,Omon,s-2,
wo,wo,upward_sea_water_velocity,Sea Water Z Velocity,Omon,m s-1,
opottempmint,opottempmint,integral_wrt_depth_of_product_of_sea_water_density_and_potential_temperature,integral wrt depth of product of sea water density and potential temperature,Oyr,degC kg m-2,
ocontempmint,ocontempmint,integral_wrt_depth_of_product_of_sea_water_density_and_conservative_temperature,integral wrt depth of product of sea water density and conservative temperature,Oyr,degC kg m-2,
somint,somint,integral_wrt_depth_of_product_of_sea_water_density_and_salinity,integral wrt depth of product of sea water density and salinity,Oyr,1e-3 kg m-2,
rsdoabsorb,rsdoabsorb,net_rate_of_absorption_of_shortwave_energy_in_ocean_layer,net rate of absorption of shortwave energy in ocean layer,Oyr,W m-2,
opottemprmadvect,opottemprmadvect,tendency_of_sea_water_potential_temperature_expressed_as_heat_content_due_to_residual_mean_advection,tendency of sea water potential temperature expressed as heat content due to residual mean advection,Oyr,W m-2,
ocontemprmadvect,ocontemprmadvect,tendency_of_sea_water_conservative_temperature_expressed_as_heat_content_due_to_residual_mean_advection,tendency of sea water conservative temperature expressed as heat content due to residual mean (sum of Eulerian + parameterized) advection,Oyr,W m-2,
osaltrmadvect,osaltrmadvect,tendency_of_sea_water_salinity_expressed_as_salt_content_due_to_residual_mean_advection,tendency of sea water salinity expressed as salt content due to residual mean advection,Oyr,kg m-2 s-1,
ps,ps,surface_air_pressure,Surface Pressure,CF3hr,Pa,
ps,ps,surface_air_pressure,Surface Pressure,E3hrPt,Pa,
rlntds,rlntds,surface_net_downward_longwave_flux,Surface Net Downward Longwave Radiation,Omon,W m-2,
clisccp,clisccp,cloud_area_fraction_in_atmosphere_layer,ISCCP Percentage Cloud Area,CFmon,%,
clisccp,clisccp,cloud_area_fraction_in_atmosphere_layer,ISCCP Cloud Area Fraction,CFday,%,
tasmaxCrop,tasmaxCrop,air_temperature,Daily Maximum Near-Surface Air Temperature over Crop Tile,Eday,K,
tasminCrop,tasminCrop,air_temperature,Daily Minimum Near-Surface Air Temperature over Crop Tile,Eday,K,
prCrop,prCrop,precipitation_flux,Precipitation over Crop Tile,Eday,kg m-2 s-1,
meanage,meanage,age_of_stratospheric_air,Mean Age of Stratospheric Air,AERmonZ,yr,
nh50,nh50,mole_fraction_of_artificial_tracer_with_fixed_lifetime_in_air,Artificial tracer with 50 day lifetime,AERmon,mol mol-1,
aoanh,aoanh,tracer_lifetime,Tracer age of air Northern Hemisphere,AERmon,yr,
zfullo,zfullo,depth_below_geoid,Depth Below Geoid of Ocean Layer,Oclim,m,
zhalfo,zhalfo,depth_below_geoid,Depth Below Geoid of Interfaces Between Ocean Layers,Oclim,m,
mrso,mrso,mass_content_of_water_in_soil,Total Soil Moisture Content,day,kg m-2,
irrLut,irrLut,surface_downward_mass_flux_of_water_due_to_irrigation,"Irrigation flux including any irrigation for crops, trees, pasture, or urban lawns",Emon,kg m-2 s-1,
fahLut,fahLut,surface_upward_heat_flux_due_to_anthropogenic_energy_consumption,"Anthropogenic heat flux generated from non-renewable human primary energy consumption, including energy use by vehicles, commercial and residential buildings, industry, and power plants.  Primary energy refers to energy in natural resources, fossil and nonfossil, before conversion into other forms, such as electricity.",Emon,W m-2,
fProductDecompLut,fProductDecompLut,tendency_of_atmosphere_mass_content_of_carbon_dioxide_expressed_as_carbon_due_to_emission_from_forestry_and_agricultural_products,flux from wood and agricultural product pools on land use tile into atmosphere,Emon,kg m-2 s-1,
fLulccProductLut,fLulccProductLut,carbon_mass_flux_into_forestry_and_agricultural_products_due_to_anthropogenic_land_use_or_land_cover_change,carbon harvested due to land-use or land-cover change process that enters anthropogenic product pools on tile,Emon,kg m-2 s-1,
fLulccResidueLut,fLulccResidueLut,carbon_mass_flux_into_soil_and_litter_due_to_anthropogenic_land_use_or_land_cover_change,carbon transferred to soil or litter pools due to land-use or land-cover change processes on tile,Emon,kg m-2 s-1,
fLulccAtmLut,fLulccAtmLut,surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_anthropogenic_land_use_or_land_cover_change_excluding_forestry_and_agricultural_products,carbon transferred directly to atmosphere due to any land-use or land-cover change activities including deforestation or agricultural fire,Emon,kg m-2 s-1,
cProductLut,cProductLut,carbon_mass_content_of_forestry_and_agricultural_products,"wood and agricultural product pool carbon associated with land use tiles; examples of products include paper, cardboard, timber for construction, and crop harvest for food or fuel.",Eyr,kg m-2,
cProduct,cProduct,carbon_mass_content_of_forestry_and_agricultural_products,Carbon Mass in Products of Land Use Change,Eyr,kg m-2,
ps,ps,surface_air_pressure,Surface Pressure,AERmon,Pa,
masso,masso,sea_water_mass,Sea Water Mass,Odec,kg,
volo,volo,sea_water_volume,Sea Water Volume,Odec,m3,
thkcello,thkcello,cell_thickness,Ocean Model Cell Thickness,Odec,m,
thetao,thetao,sea_water_potential_temperature,Sea Water Potential Temperature,Odec,degC,
thetaoga,thetaoga,sea_water_potential_temperature,Global Average Sea Water Potential Temperature,Odec,degC,
bigthetaoga,bigthetaoga,sea_water_conservative_temperature,Global Average Sea Water Conservative Temperature,Odec,degC,
tos,tos,sea_surface_temperature,Sea Surface Temperature,Odec,degC,
tosga,tosga,sea_surface_temperature,Global Average Sea Surface Temperature,Odec,degC,
so,so,sea_water_salinity,Sea Water Salinity,Odec,0.001,
soga,soga,sea_water_salinity,Global Mean Sea Water Salinity,Odec,0.001,
sos,sos,sea_surface_salinity,Sea Surface Salinity,Odec,0.001,
sosga,sosga,sea_surface_salinity,Global Average Sea Surface Salinity,Odec,0.001,
agessc,agessc,sea_water_age_since_surface_contact,Sea Water Age Since Surface Contact,Odec,yr,
uo,uo,sea_water_x_velocity,Sea Water X Velocity,Odec,m s-1,
vo,vo,sea_water_y_velocity,Sea Water Y Velocity,Odec,m s-1,
wo,wo,upward_sea_water_velocity,Sea Water Z Velocity,Odec,m s-1,
msftmz,msftmz,ocean_meridional_overturning_mass_streamfunction,Ocean Meridional Overturning Mass Streamfunction,Odec,kg s-1,
hfbasin,hfbasin,northward_ocean_heat_transport,Northward Ocean Heat Transport,Odec,W,
wfo,wfo,water_flux_into_sea_water,Water Flux into Sea Water,Odec,kg m-2 s-1,
sfdsi,sfdsi,downward_sea_ice_basal_salt_flux,Downward Sea Ice Basal Salt Flux,Odec,kg m-2 s-1,
sfriver,sfriver,salt_flux_into_sea_water_from_rivers,Salt Flux into Sea Water from Rivers,Odec,kg m-2 s-1,
dmso,dmso,mole_concentration_of_dimethyl_sulfide_in_sea_water,Mole Concentration of Dimethyl Sulphide in sea water,Omon,mol m-3,
ugrid,ugrid,longitude,UGRID Grid Information,Ofx,,
o3,o3,mole_fraction_of_ozone_in_air,Mole Fraction of O3,Amon,mol mol-1,
o3Clim,o3Clim,mole_fraction_of_ozone_in_air,Mole Fraction of O3,Amon,mol mol-1,
hurs,hurs,relative_humidity,Near-Surface Relative Humidity,day,%,
hursmin,hursmin,relative_humidity,Surface Daily Minimum Relative Humidity,day,%,
hursmax,hursmax,relative_humidity,Surface Daily Maximum Relative Humidity,day,%,
epc100,epc100,sinking_mole_flux_of_particulate_organic_matter_expressed_as_carbon_in_sea_water,Downward Flux of Particulate Organic Carbon,Omon,mol m-2 s-1,
epfe100,epfe100,sinking_mole_flux_of_particulate_iron_in_sea_water,Downward Flux of Particulate Iron,Omon,mol m-2 s-1,
epsi100,epsi100,sinking_mole_flux_of_particulate_silicon_in_sea_water,Downward Flux of Particulate Silicon,Omon,mol m-2 s-1,
epcalc100,epcalc100,sinking_mole_flux_of_calcite_expressed_as_carbon_in_sea_water,Downward Flux of Calcite,Omon,mol m-2 s-1,
eparag100,eparag100,sinking_mole_flux_of_aragonite_expressed_as_carbon_in_sea_water,Downward Flux of Aragonite,Omon,mol m-2 s-1,
zfullo,zfullo,depth_below_geoid,Depth Below Geoid of Ocean Layer,Omon,m,
zhalfo,zhalfo,depth_below_geoid,Depth Below Geoid of Interfaces Between Ocean Layers,Omon,m,
tntmp,tntmp,tendency_of_air_temperature_due_to_model_physics,Tendency of Air Temperature due to Model Physics,EmonZ,K s-1,
hus,hus,specific_humidity,Specific Humidity,E3hrPt,1,
ta,ta,air_temperature,Air Temperature,6hrPlevPt,K,
loaddust,loaddust,atmosphere_mass_content_of_dust_dry_aerosol_particles,Load of Dust,Emon,kg m-2,
